Engine Size (l),City MPG,Hwy MPG,Weight,Wheel Base,Width,CarType,CarType_str,name
3,16,23,4023,110,73,3,SUV,car_1
2.5,23,28,2761,100,67,1,Sedan,car_2
3,20,30,3472,114,73,1,Sedan,car_3
4.3,14,17,4605,111,78,5,Minivan,car_4
3.4,20,29,3085,107,70,1,Sedan,car_5
4.2,16,21,4425,113,75,3,SUV,car_6
3.4,19,26,3699,112,72,5,Minivan,car_7
2.7,20,27,3279,106,72,1,Sedan,car_8
2.4,21,24,3468,101,72,3,SUV,car_9
3.3,19,26,4068,119,79,5,Minivan,car_10
3.3,19,27,4120,119,77,5,Minivan,car_11
1.4,46,51,2732,103,68,1,Sedan,car_12
3.4,18,24,4431,121,72,5,Minivan,car_13
4.2,15,20,4967,129,76,3,SUV,car_14
4.6,13,18,4834,114,76,3,SUV,car_15
1.5,32,38,2340,93,67,1,Sedan,car_16
3.1,20,30,3353,109,73,1,Sedan,car_17
3,18,26,3777,115,72,1,Sedan,car_18
3.5,18,25,3549,107,70,1,Sedan,car_19
3,18,25,3812,112,72,5,Minivan,car_20
2.4,20,26,3862,113,79,5,Minivan,car_21
2.5,22,28,2965,99,69,1,Sedan,car_22
3.5,17,22,4387,106,77,3,SUV,car_23
3.8,18,25,4331,119,79,5,Minivan,car_24
3.8,18,25,4440,119,79,5,Minivan,car_25
5,14,17,4874,111,72,3,SUV,car_26
4.4,12,16,5379,113,76,3,SUV,car_27
4.2,15,19,4945,129,75,3,SUV,car_28
3.4,19,26,4024,112,74,3,SUV,car_29
4.3,16,20,4309,111,78,5,Minivan,car_30
